id,name
2,"Nova Prime"
3,"<ARCHWING> Elytron"
5,"<ARCHWING> Odonata"
9,"Banshee Prime"
8,"Banshee"
7,"<ARCHWING> Amesha"
1,"Nova"
6,"<ARCHWING> Itzal"
4,"<ARCHWING> Odonata Prime"
10,"Octavia"
14,"Mesa"
13,"Atlas"
11,"Valkyr"
15,"Chroma"
16,"Ember"
19,"Excalibur Prime"
18,"Excalibur"
12,"Valkyr Prime"
20,"Excalibur Umbra"
17,"Ember Prime"
21,"Titania"
22,"Frost"
25,"Mirage"
23,"Frost Prime"
24,"Gara"
28,"Nyx"
27,"Nidus"
26,"Mirage Prime"
31,"Loki"
29,"Nyx Prime"
30,"Khora"
33,"Mag"
32,"Loki Prime"
37,"Wukong"
36,"Limbo"
35,"Limbo Prime"
34,"Mag Prime"
40,"Nezha"
38,"Nekros"
41,"Ash Prime"
39,"Nekros Prime"
43,"Oberon"
42,"Ash"
46,"Hydroid"
44,"Oberon Prime"
48,"Ivara"
47,"Harrow"
45,"Hydroid Prime"
51,"Inaros"
49,"Rhino"
50,"Rhino Prime"
52,"Saryn"
54,"Zephyr"
53,"Saryn Prime"
56,"Vauban"
55,"Zephyr Prime"
63,"Agility Drift"
58,"Trinity"
64,"Coaction Drift"
57,"Vauban Prime"
59,"Trinity Prime"
65,"Cunning Drift"
61,"Volt Prime"
66,"Endurance Drift"
67,"Power Drift"
69,"Stealth Drift"
68,"Speed Drift"
60,"Volt"
62,"Equinox"
70,"Antimatter Absorb"
72,"Neutron Star"
71,"Antimatter Mine"
73,"Escape Velocity"
74,"Afterburner"
75,"Energy Field"
77,"Resonating Quake"
76,"Cold Snap"
78,"Sonic Fracture"
79,"Savage Silence"
81,"Partitioned Mallet"
80,"Resonance"
82,"Swing Line"
83,"Eternal War"
84,"Hysterical Assault"
87,"Tectonic Fracture"
86,"Prolonged Paralysis"
85,"Hysterical Fixation"
89,"Path of Statues"
88,"Ore Gaze"
90,"Titanic Rumbler"
91,"Rumbled"
93,"Mesa's Waltz"
94,"Staggering Shield"
92,"Ballistic Bullseye"
95,"Muzzle Flash"
96,"Afterburn"
97,"Everlasting Ward"
98,"Guided Effigy"
100,"Fireball Frenzy"
99,"Vexing Retaliation"
101,"Healing Flame"
102,"Purifying Flames"
103,"Immolated Radiance"
104,"Exothermic"
107,"Furious Javelin"
105,"Radiant Finish"
106,"Signal Flare"
108,"Surging Dash"
109,"Purging Slash"
112,"Beguiling Lantern"
110,"Chromatic Blade"
114,"Chilling Globe"
111,"Razorwing Blitz"
113,"Icy Avalanche"
116,"Freeze Force"
115,"Ice Wave Impedance"
118,"Total Eclipse"
117,"Hall of Malevolence"
119,"Explosive Legerdemain"
121,"Insatiable"
120,"Prism Guard"
122,"Larva Burst"
124,"Pacifying Bolts"
123,"Chaos Sphere"
126,"Assimilate"
125,"Mind Freak"
127,"Singularity"
128,"Savior Decoy"
129,"Deceptive Bond"
130,"Irradiating Disarm"
131,"Hushed Invisibility"
